2025-09-24 22:37:16,501 DEBUG __main__:170 | x04 = 0x00000000 (          0)
2025-09-24 22:37:16,501 DEBUG __main__:170 | x05 = 0x00000000 (          0)
2025-09-24 22:37:16,501 DEBUG __main__:170 | x06 = 0x00000000 (          0)
2025-09-24 22:37:16,501 DEBUG __main__:170 | x07 = 0x00000000 (          0)
2025-09-24 22:37:16,502 DEBUG __main__:170 | x08 = 0x00000000 (          0)
2025-09-24 22:37:16,502 DEBUG __main__:170 | x09 = 0x00000000 (          0)
2025-09-24 22:37:16,502 DEBUG __main__:170 | x10 = 0x00000000 (          0)
2025-09-24 22:37:16,502 DEBUG __main__:170 | x11 = 0x00000000 (          0)
2025-09-24 22:37:16,502 DEBUG __main__:170 | x12 = 0x00000000 (          0)
2025-09-24 22:37:16,502 DEBUG __main__:170 | x13 = 0x00000000 (          0)
2025-09-24 22:37:16,504 DEBUG __main__:170 | x14 = 0x00000000 (          0)
2025-09-24 22:37:16,504 DEBUG __main__:170 | x15 = 0x00000000 (          0)
2025-09-24 22:37:16,504 DEBUG __main__:170 | x16 = 0x00000000 (          0)
2025-09-24 22:37:16,504 DEBUG __main__:170 | x17 = 0x00000000 (          0)
2025-09-24 22:37:16,505 DEBUG __main__:170 | x18 = 0x00000000 (          0)
2025-09-24 22:37:16,505 DEBUG __main__:170 | x19 = 0x00000000 (          0)
2025-09-24 22:37:16,505 DEBUG __main__:170 | x20 = 0x00000000 (          0)
2025-09-24 22:37:16,506 DEBUG __main__:170 | x21 = 0x00000000 (          0)
2025-09-24 22:37:16,506 DEBUG __main__:170 | x22 = 0x00000000 (          0)
2025-09-24 22:37:16,506 DEBUG __main__:170 | x23 = 0x00000000 (          0)
2025-09-24 22:37:16,507 DEBUG __main__:170 | x24 = 0x00000000 (          0)
2025-09-24 22:37:16,507 DEBUG __main__:170 | x25 = 0x00000000 (          0)
2025-09-24 22:37:16,507 DEBUG __main__:170 | x26 = 0x00000000 (          0)
2025-09-24 22:37:16,507 DEBUG __main__:170 | x27 = 0x00000000 (          0)
2025-09-24 22:37:16,508 DEBUG __main__:170 | x28 = 0x00000000 (          0)
2025-09-24 22:37:16,508 DEBUG __main__:170 | x29 = 0x00000000 (          0)
2025-09-24 22:37:16,508 DEBUG __main__:170 | x30 = 0x00000000 (          0)
2025-09-24 22:37:16,508 DEBUG __main__:170 | x31 = 0x00000000 (          0)
2025-09-24 22:39:29,188 DEBUG __main__:201 | FETCH pc=0x00000004 instr=0x00A00113
2025-09-24 22:40:26,860 DEBUG __main__:251 | ADDI x2, x0, 10
2025-09-24 22:40:46,580 DEBUG __main__:166 | === REG DUMP before ADDI ===
2025-09-24 22:40:46,581 DEBUG __main__:170 | x00 = 0x00000000 (          0)
2025-09-24 22:40:46,581 DEBUG __main__:170 | x01 = 0x00000005 (          5)
2025-09-24 22:40:46,581 DEBUG __main__:170 | x02 = 0x00000000 (          0)
2025-09-24 22:40:46,582 DEBUG __main__:170 | x03 = 0x00000000 (          0)
2025-09-24 22:40:46,582 DEBUG __main__:170 | x04 = 0x00000000 (          0)
2025-09-24 22:40:46,582 DEBUG __main__:170 | x05 = 0x00000000 (          0)
2025-09-24 22:40:46,583 DEBUG __main__:170 | x06 = 0x00000000 (          0)
2025-09-24 22:40:46,583 DEBUG __main__:170 | x07 = 0x00000000 (          0)
2025-09-24 22:40:46,583 DEBUG __main__:170 | x08 = 0x00000000 (          0)
2025-09-24 22:40:46,584 DEBUG __main__:170 | x09 = 0x00000000 (          0)
2025-09-24 22:40:46,584 DEBUG __main__:170 | x10 = 0x00000000 (          0)
2025-09-24 22:40:46,584 DEBUG __main__:170 | x11 = 0x00000000 (          0)
2025-09-24 22:40:46,584 DEBUG __main__:170 | x12 = 0x00000000 (          0)
2025-09-24 22:40:46,585 DEBUG __main__:170 | x13 = 0x00000000 (          0)
